name,image_url,stat_value
Amadou Onana,https://img.a.transfermarkt.technology/portrait/header/485706-1718697649.jpg?lm=1,55000000
Jérémy Doku,https://img.a.transfermarkt.technology/portrait/header/486049-1743670159.jpg?lm=1,55000000
Pedro Neto,https://img.a.transfermarkt.technology/portrait/header/487465-1709158892.jpg?lm=1,50000000
Vitinha,https://img.a.transfermarkt.technology/portrait/header/487469-1672303629.jpg?lm=1,60000000
Francisco Conceição,https://img.a.transfermarkt.technology/portrait/header/487474-1713948689.png?lm=1,36000000
Randal Kolo Muani,https://img.a.transfermarkt.technology/portrait/header/487969-1718697120.jpg?lm=1,30000000
Conor Gallagher,https://img.a.transfermarkt.technology/portrait/header/488362-1668500476.jpg?lm=1,40000000
William Saliba,https://img.a.transfermarkt.technology/portrait/header/495666-1718697201.jpg?lm=1,80000000
Karim Adeyemi,https://img.a.transfermarkt.technology/portrait/header/496094-1712859708.jpg?lm=1,40000000
Khvicha Kvaratskhelia,https://img.a.transfermarkt.technology/portrait/header/502670-1708553120.jpg?lm=1,80000000
Giorgi Mamardashvili,https://img.a.transfermarkt.technology/portrait/header/502676-1716542116.jpg?lm=1,30000000
Riccardo Calafiori,https://img.a.transfermarkt.technology/portrait/header/502821-1727382174.jpg?lm=1,40000000
Isak Hien,https://img.a.transfermarkt.technology/portrait/header/503075-1725531359.jpg?lm=1,30000000
Min-jae Kim,https://img.a.transfermarkt.technology/portrait/header/503482-1700208062.jpg?lm=1,45000000
Anthony Gordon,https://img.a.transfermarkt.technology/portrait/header/503733-1660588736.jpg?lm=1,65000000
Morgan Rogers,https://img.a.transfermarkt.technology/portrait/header/503743-1706786450.jpg?lm=1,50000000
Jacob Ramsey,https://img.a.transfermarkt.technology/portrait/header/503749-1687975464.jpg?lm=1,32000000
Tino Livramento,https://img.a.transfermarkt.technology/portrait/header/503981-1699383321.jpg?lm=1,35000000
Noni Madueke,https://img.a.transfermarkt.technology/portrait/header/503987-1683102348.jpg?lm=1,40000000
Tomás Araújo,https://img.a.transfermarkt.technology/portrait/header/504087-1737497771.jpg?lm=1,32000000
